z_spec,MAG_u,MAG_g,MAG_r,MAG_i
1.33458,23.522259,23.2793,22.879612,22.477123
0.93861,24.290596,24.075544,23.664644,22.189545
0.88646,23.223509,23.014454,22.707514,22.035007
0.71834,22.319445,22.300474,22.352175,21.941584
0.85703,24.270788,23.816824,23.929699,23.258677
0.56252,23.904842,24.097656,23.865112,23.689869
0.78637,23.720852,23.434437,23.14859,22.25007
1.10518,23.644539,23.091837,23.053389,22.720425
0.75365,22.0196,21.745077,21.329845,20.425896
0.76407,23.788998,23.875486,23.685448,22.515636
0.95968,22.91178,24.509533,24.09287,23.85055
0.7711,23.067148,22.719194,22.269814,21.534866
0.81009,23.617695,24.010242,23.891367,23.643541
1.41221,24.055742,23.675858,23.246498,23.019081
0.95361,23.929785,24.316072,23.889044,23.099571
1.05756,23.74516,23.729279,23.72171,23.220686
0.72467,23.869068,23.762484,23.352358,22.699596
1.12171,24.258917,24.02642,23.997631,23.194445
1.14245,23.9929,23.858372,23.79636,23.685513
1.10999,22.42423,22.515388,22.184828,22.030096
1.29059,24.57094,23.655901,23.448,23.003029
0.88279,23.050272,23.08447,22.734785,21.777317
0.79351,23.127876,23.198107,22.956692,22.26211
1.32349,23.621529,23.59486,23.970228,23.009878
0.73058,24.32966,23.950285,23.53278,22.747568
0.94562,23.435192,23.174368,23.234694,22.583427
0.89137,23.74994,23.697277,23.480011,22.600887
0.54111,24.125862,23.729097,23.587955,23.372557
1.3099,24.774792,24.080637,23.648058,22.997808
0.94209,23.701921,24.136753,23.786373,23.508419
1.04321,24.987135,24.373825,24.084198,23.18129
1.113,24.034605,24.159998,23.838083,23.6146
0.97192,23.721567,23.549837,23.532642,23.39662
0.15089,24.053469,23.225525,22.82536,22.684107
1.03157,23.249022,23.520397,23.535429,22.709381
1.09418,24.023748,23.591488,23.494371,22.803125
0.99364,23.301764,23.21988,23.045258,22.808733
0.78491,99,23.99544,23.768152,23.571096
1.16943,23.695627,23.27173,23.416555,23.086056
0.81247,24.18536,23.858023,23.788431,23.107225
0.78105,23.651312,23.726406,23.682943,22.96751
1.16033,23.66413,23.464714,23.293375,23.141897
0.59629,24.244143,23.663864,23.609959,23.358894
1.04371,22.584972,22.633743,22.472094,22.267784
0.94672,24.23508,23.984632,23.773123,23.355993
0.82417,24.216919,24.079132,24.036095,23.700031
1.11835,22.727785,22.80551,22.391335,22.059065
0.74583,23.676125,24.088339,23.989407,23.266695
0.85593,24.006922,24.02354,23.804617,23.234621
1.19411,24.503017,24.417212,24.07818,23.243376
0.84321,20.863659,20.967314,20.98997,20.448957
0.809,22.079842,22.060677,21.75333,20.962559
0.18936,24.404202,23.880169,23.629274,23.121252
0.19765,24.387491,24.120407,23.835941,23.608706
1.17535,23.92316,24.138071,23.930414,23.60234
1.06453,23.949293,23.560972,23.120506,22.59517
